unicodes,width,height
32,9,24
33,12,18
34,9,9
35,15,18
36,15,18
37,12,18
38,15,18
39,3,9
40,9,18
41,9,18
42,15,18
43,15,18
44,6,18
45,6,12
46,3,18
47,12,18
48,12,18
49,9,18
50,12,18
51,12,18
52,12,18
53,12,18
54,12,18
55,12,18
56,12,18
57,12,18
58,3,15
59,3,18
60,9,18
61,12,15
62,9,18
63,12,18
64,15,18
65,12,18
66,12,18
67,12,18
68,12,18
69,12,18
70,12,18
71,12,18
72,12,18
73,12,18
74,12,18
75,12,18
76,12,18
77,15,18
78,12,18
79,12,18
80,12,18
81,12,18
82,12,18
83,12,18
84,12,18
85,12,18
86,12,18
87,15,18
88,12,18
89,12,18
90,12,18
91,9,18
92,12,18
93,9,18
94,15,12
95,12,18
96,3,9
97,12,18
98,12,18
99,12,18
100,12,18
101,12,18
102,12,18
103,12,18
104,12,18
105,12,18
106,12,18
107,12,18
108,12,18
109,15,18
110,12,18
111,12,18
112,12,18
113,12,18
114,12,18
115,12,18
116,12,18
117,12,18
118,12,18
119,15,18
120,12,18
121,12,18
122,12,18
123,9,18
124,3,18
125,9,18
126,12,9
127,12,9
