unicodes,width,height,space
32,3,16,0
33,4,13,3
34,5,8,6
35,7,13,6
36,6,15,8
37,7,13,7
38,7,13,8
39,2,8,8
40,4,13,3
41,4,13,5
42,8,11,5
43,6,11,9
44,2,15,7
45,6,9,3
46,2,13,7
47,6,14,3
48,6,13,7
49,6,13,7
50,6,13,7
51,6,13,7
52,6,13,7
53,6,13,7
54,6,13,7
55,6,13,7
56,6,13,7
57,6,13,7
58,2,13,7
59,2,15,3
60,5,13,3
61,6,10,6
62,5,13,7
63,6,13,6
64,6,13,7
65,6,13,7
66,6,13,7
67,6,13,7
68,6,13,7
69,6,13,7
70,6,13,7
71,6,13,7
72,6,13,7
73,6,13,7
74,6,13,7
75,6,13,7
76,6,13,7
77,7,13,7
78,6,13,8
79,6,13,7
80,6,13,7
81,6,15,7
82,6,13,7
83,6,13,7
84,6,13,7
85,6,13,7
86,6,13,7
87,7,13,7
88,6,13,8
89,6,13,7
90,6,13,7
91,4,13,7
92,6,14,5
93,4,13,7
94,6,7,5
95,4,16,7
96,3,5,5
97,6,13,4
98,6,13,7
99,6,13,7
100,6,13,7
101,6,13,7
102,6,13,7
103,6,16,7
104,6,13,7
105,6,13,7
106,6,16,7
107,6,13,7
108,6,13,7
109,7,13,7
110,6,13,8
111,6,13,7
112,6,16,7
113,6,16,7
114,6,13,7
115,6,13,7
116,6,13,7
117,6,13,7
118,6,13,7
119,7,13,7
120,6,13,8
121,6,16,7
122,6,13,7
123,5,13,7
124,2,13,6
125,5,13,3
126,7,9,6
127,7,9,8
,,,8
